messageId,camId,timestamp,latitude,longitude,heading,speed,acceleration
2,3,46780,45.0527,7.65837,186.6,9.7,-1.5
2,3,46880,45.0527,7.65836,189.4,9.7,0
2,3,46980,45.0527,7.65836,189.4,9.71,-0.3
2,3,47080,45.0527,7.65836,189.4,9.7,-1
2,6,47199,45.0532,7.65684,270,7.62,-0.5
2,7,47352,45.0531,7.65713,90,6.93,0.8
2,3,47580,45.0526,7.65835,189.4,9.7,-1.3
2,6,47799,45.0532,7.65679,270,7.62,-0.4
2,7,47952,45.0531,7.65718,90,6.92,-1.1
2,3,48080,45.0526,7.65835,189.4,9.7,-0.5
2,6,48399,45.0532,7.65673,270,7.62,0.4
2,7,48552,45.0531,7.65724,90,6.93,0.7
2,3,48580,45.0526,7.65834,189.4,9.7,0
2,6,48999,45.0532,7.65667,270,7.62,0.4
2,3,49080,45.0525,7.65833,189.4,9.71,1.5
2,7,49152,45.0531,7.65729,90,6.92,0.3
2,3,49580,45.0525,7.65831,195.9,9.71,0
2,6,49599,45.0532,7.65662,270,7.63,0
2,3,49680,45.0525,7.65831,205.1,9.71,0.5
2,7,49752,45.0531,7.65734,90,6.93,0.5
2,3,49780,45.0525,7.6583,214.7,9.71,0.1
2,3,49880,45.0525,7.65829,224.1,9.71,0
2,3,49980,45.0525,7.65828,233,9.71,0.2
2,3,50080,45.0525,7.65827,236.3,9.71,0.6
2,3,50180,45.0525,7.65826,236.3,9.71,1
2,3,50280,45.0525,7.65825,236.3,9.71,-0.8
2,7,50352,45.0531,7.65739,90,6.92,0.1
2,3,50780,45.0524,7.65821,236.3,9.71,0.8
2,7,50952,45.0531,7.65744,90,6.93,1
2,3,51280,45.0524,7.65816,236.3,9.71,0
2,7,51552,45.0531,7.6575,90,6.92,-0.4
2,3,51780,45.0524,7.65811,236.3,9.7,-0.6
2,7,52152,45.0531,7.65755,90,6.93,1.1
2,3,52280,45.0524,7.65807,236.3,9.71,1.6
2,7,52752,45.0531,7.6576,90,6.92,-0.8
2,3,52780,45.0523,7.65802,236.3,9.7,0.5
2,3,53280,45.0523,7.65796,243.5,9.7,0
2,7,53352,45.0531,7.65765,90,6.92,-1.5
2,3,53380,45.0523,7.65795,249.2,9.71,0.8
2,3,53480,45.0523,7.65794,254.9,9.71,0.4
2,3,53580,45.0523,7.65793,260.4,9.7,-0.2
2,3,53680,45.0523,7.65792,265.6,9.7,0.5
2,3,53780,45.0523,7.6579,270,9.7,-0.6
2,3,53880,45.0523,7.65789,270,9.71,0.1
2,7,53952,45.0531,7.6577,90,6.93,1.3
2,3,53980,45.0523,7.65788,270,9.71,1.5
2,3,54080,45.0523,7.65787,270,9.7,0
2,3,54180,45.0523,7.65786,270,9.7,-0.7
2,7,54552,45.0531,7.65776,90,6.93,1.2
2,3,54680,45.0523,7.65779,270,9.7,-0.9
2,7,55152,45.0531,7.65781,90,6.92,0.2
2,3,55180,45.0523,7.65773,270,9.7,-1.1
2,3,55680,45.0523,7.65767,270,9.7,-0.7
2,7,55752,45.0531,7.65786,90,6.93,1.1
2,3,56180,45.0523,7.65761,270,9.71,0.3
2,7,56352,45.0531,7.65791,90,6.93,1.2
2,3,56680,45.0523,7.65755,270,9.71,1.7
2,7,56952,45.0531,7.65797,95.8,6.92,-0.8
2,7,57152,45.0531,7.65799,103.3,6.92,-0.2
2,3,57180,45.0523,7.65749,270,9.7,-0.2
2,7,57352,45.0531,7.658,111.3,6.92,-1.8
2,7,57452,45.0531,7.65801,115.4,6.92,-0.7
2,7,57552,45.0531,7.65801,119.4,6.92,-1
2,7,57652,45.0531,7.65802,123.1,6.93,-0.6
2,3,57680,45.0523,7.65743,270,9.7,-0.2
2,7,57752,45.0531,7.65803,123.1,6.93,0.3
2,7,57852,45.0531,7.65803,123.1,6.92,-1.5
2,7,57952,45.0531,7.65804,123.1,6.93,1.2
2,3,58180,45.0523,7.65737,270,9.7,-0.9
2,7,58552,45.053,7.65808,123.1,6.93,0.1
2,3,58680,45.0523,7.65731,270,9.7,-0.3
2,7,59152,45.053,7.65812,123.1,6.93,0.8
2,3,59180,45.0523,7.65725,270,9.7,0
2,3,59680,45.0523,7.65719,270,9.71,1
2,7,59752,45.053,7.65816,123.1,6.93,-0.2
2,3,60180,45.0523,7.65713,270,9.7,-0.7
2,7,60352,45.053,7.6582,123.1,6.92,0.1
2,3,60680,45.0523,7.65707,270,9.7,-1.1
2,7,60952,45.053,7.65824,123.1,6.92,0.3
2,3,61180,45.0523,7.657,270,9.7,-0.3
2,7,61552,45.053,7.65828,123.1,6.92,0.3
2,3,61680,45.0523,7.65694,270,9.71,-0.1
2,7,62152,45.0529,7.65831,131.3,6.93,1.2
2,7,62252,45.0529,7.65832,137.7,6.93,0.7
2,7,62352,45.0529,7.65832,144.3,6.92,-1.7
2,7,62452,45.0529,7.65832,151,6.92,-0.3
